key,en,es,zh,tl,vi,ar,fr,ko,ru,pt,ht,hi,de,pl,it,ur,fa,te,ja,gu,bn,ta,pa,th,sh,hy,el,hmn,he,km,nv,ilo,sm,haw,pdc,yi,nl,so,am,sw
opt_go,Go,Continuar,前进,Humayo,Đi,اذهب,Aller,가다,Идти,Ir,Ale,जाओ,Gehen,Idź,Vai,جاؤ,برو,వెళ్ళు,進む,જાઓ,যাও,செல்,ਜਾਓ,ไป,Idi,Գնա,Πήγαινε,Mus,לך,ទៅ,Hił,Umay,Alu,Hele,Gei,גיי,Ga,Tag,ሂድ,Nenda
opt_slow_down,Slow Down,Reducir la velocidad,减速,Bagalan,Giảm tốc,خفف السرعة,Ralentir,감속,Снизить скорость,Desacelerar,Ralanti,गति कम करें,Langsamer,Zwolnij,Rallentare,رفتار کم کریں,آهسته برو,నెమ్మదించు,減速する,ધીમે કરો,গতি কমাও,மெதுவாக,ਧੀਮੇ ਹੋਵੋ,ชะลอ,Uspori,Դանդաղիր,Επιβράδυνση,Ua qeeb,להאט,បន្ថយល្បឿន,Shigh,Pakdakkelen,Faʻagesegese,Hōʽemi,Weniger schnell,ביסלעכער,Langzamer,Gaabi,ዝቅ አድርግ,Punguza mwendo
opt_yield,Yield,Ceda el paso,让行,Magbigay-daan,Nhường đường,أفسح الطريق,Cédez,양보,Уступить,Conceder passagem,Ba wout,रास्ता दें,Vorfahrt gewähren,Ustąp,Precedenza,راستہ دو,حق تقدم بده,దారి ఇవ్వు,譲る,માર્ગ આપો,পথ দিন,வழி விடுங்கள்,ਰਸਤਾ ਦਿਓ,ให้ทาง,Daj prednost,Տուր ճանապարհը,Προτεραιότητα,Muab kev,תן זכות קדימה,អនុញ្ញាតឱ្យប៉ះ,Alʼąął,Idan ti dalan,Tuʻu atu,ʻAe i ke ala,Gib Weg,געבן וועג,Geef voorrang,Sii marin,መንገድ ስጥ,Toa haki ya njia
q_turn_signals,When should you use your turn signals?,¿Cuándo debes usar tus señales de giro?,什么时候应该使用转向灯？,Kailan mo dapat gamitin ang signal mo?,Khi nào nên dùng tín hiệu rẽ?,متى يجب استخدام إشارات الانعطاف؟,Quand devez-vous utiliser vos clignotants ?,언제 방향지시등을 사용해야 합니까?,Когда следует использовать поворотники?,Quando você deve usar as setas?,Kilè w ap itilize siy vire?,आपको टर्न सिग्नल कब इस्तेमाल करना चाहिए?,Wann sollten Sie blinken?,Kiedy używać kierunkowskazów?,Quando dovresti usare le frecce?,کب آپ کو ٹرن سگنل استعمال کرنا چاہئے؟,چه زمانی از چراغ راهنما استفاده کنیم؟,మీరు ఎప్పుడు టర్న్ సిగ్నల్స్ ఉపయోగించాలి?,いつ方向指示器を使うべきですか？,તમે ક્યારે ટર્ન સિગ્નલનો ઉપયોગ કરવો જોઈએ?,কখন টার্ন সিগন্যাল ব্যবহার করবেন?,நீங்கள் எப்போது திருப்பு சிக்னல்களைப் பயன்படுத்த வேண்டும்?,ਤੁਸੀਂ ਟਰਨ ਸਿਗਨਲ ਕਦੋਂ ਵਰਤਣੇ ਹਨ?,ควรใช้สัญญาณไฟเลี้ยวเมื่อใด?,Kada treba koristiti žmigavce?,Երբ պետք է օգտագործել շրջադարձային ազդանշանները?,Πότε πρέπει να χρησιμοποιείτε φλας;,Thaum twg siv teeb tig?,מתי להשתמש באיתות?,ពេលណាទើបប្រើសញ្ញាចង្កៀង?,Haʼátʼíígo íiłʼíníísh tʼáá?,Kaano a usar ti senyal,Afāfea e fa'aoga ai fa'ailo?,Āhea e hoʻohana ai i ke kukui huli?,Wänn sollscht du blénke?,ווען דאַרף מען ניצן בלינקער?,Wanneer richtingaanwijzers gebruiken?,Goorma ayaad isticmaashaa yiirid?,መቼ ነው መሽከርከር ምልክት የሚጠቀሙበት?,Ni lini utumie viashiria vya kugeuza?
opt_every_turn,Every turn,Cada giro,每次转弯,Bawat liko,Mỗi lần rẽ,كل منعطف,Chaque virage,매번 회전,Каждый поворот,Cada curva,Chak tou,हर मोड़,Jede Kurve,Każdy zakręt,Ogni svolta,ہر موڑ,هر پیچ,ప్రతి మలుపు,毎回の曲がり,દરેક વળાંક,প্রতি মোড়ে,ஒவ்வொரு திருப்பமும்,ਹਰ ਮੋੜ,ทุกทางเลี้ยว,Svaki skret,Յուրաքանչյուր շրջադարձ,Κάθε στροφή,Txhua kev tig,כל פנייה,រាល់ការ​បត់,Dooleʼgóó,Tuwing liko,Toso taʻi,ʻO kēlā me kēia huli,Jeder Krou,יעדע קערוו,Elke bocht,Waqti kasta u leexo,እያንዳንዱ መሽከርከር,Kwa kila mgeuko
opt_only_at_night,Only at night,Solo por la noche,只在夜间,Sa gabi lamang,Chỉ vào ban đêm,فقط ليلاً,Seulement la nuit,밤에만,Только ночью,Apenas à noite,Sèlman lannwit,केवल रात में,Nur nachts,Tylko w nocy,Solo di notte,صرف رات کو,فقط شب‌ها,రాత్రి మాత్రమే,夜だけ,માત્ર રાત્રે,শুধু রাতে,இரவில் மட்டுமே,ਸਿਰਫ਼ ਰਾਤ ਨੂੰ,เฉพาะเวลากลางคืน,Samo noću,Միայն գիշերը,Μόνο τη νύχτα,Tsuas thaum hmo ntuj,רק בלילה,តែពេលយប់,Shił bééhózin,Ti rabii laeng,Na le pō,E pō wale nō,Nor nachts,נאָר בײַ נאַכט,Alleen ’s nachts,Kaliya habeenkii,በሌሊት ብቻ,Usiku tu
opt_only_on_highways,Only on highways,Solo en autopistas,仅在高速公路上,Sa mga highway lamang,Chỉ trên đường cao tốc,فقط على الطرق السريعة,Uniquement sur autoroutes,고속도로에서만,Только на автомагистралях,Apenas em rodovias,Sèlman sou gran wout,केवल राजमार्गों पर,Nur auf Autobahnen,Tylko na autostradach,Solo in autostrada,صرف ہائی ویز پر,فقط بزرگراه‌ها,హైవేలో మాత్రమే,高速道路のみ,માત્ર હાઇવે પર,শুধু মহাসড়কে,அதிவேக சாலைகளில் மட்டுமே,ਕੇਵਲ ਹਾਈਵੇਅ ਤੇ,เฉพาะทางหลวงเท่านั้น,Samo na autoputu,Միայն մայրուղիներում,Μόνο σε αυτοκινητόδρομους,Tsuas ntawm txoj kev loj,רק בכבישים מהירים,សុទ្ធតែផ្លូវល្បឿនលឿនលើកទឹកចិត្ត,Highways bilagaʼ,Iti dalan a dakkel,Na alatele,Ma ke alanui nui wale nō,Nor uff de Autobahn,נאָר אויפֿן אַוטאָבאַן,Alleen op snelwegen,Kaliya wadooyinka waaweyn,በአውቶቡስ መንገድ ብቻ,Barabara kuu tu
opt_never,Never,Nunca,从不,Huwag kailanman,Không bao giờ,أبداً,Jamais,절대,Никогда,Nunca,Pajanm,कभी नहीं,Niemals,Nigdy,mai,کبھی نہیں,هرگز,ఎప్పుడూ కాదు,決して,ક્યારેય નહીં,কখনও না,ஒருபோதும் இல்லை,ਕਦੇ ਨਹੀਂ,ไม่เคย,Nikad,Երբեք,Ποτέ,Tsis tau,אף פעם לא,មិនដែល,Dooleʼda,Di metten,Leai lava,ʻAʻole loa,Nie,קיינמאָל,Nooit,Marnaba,በፍጹም አይደለም,Kamwe
q_school_zone_speed,What is the speed limit in a school zone?,¿Cuál es el límite de velocidad en una zona escolar?,学校区域的限速是多少？,Ano ang speed limit sa school zone?,Giới hạn tốc độ trong khu vực trường học là gì?,ما هو الحد الأقصى للسرعة في منطقة المدرسة؟,Quelle est la limite de vitesse dans une zone scolaire ?,학교 구역의 제한 속도는 무엇입니까?,Каково ограничение скорости в школьной зоне?,Qual é o limite de velocidade em uma zona escolar?,Ki limit vitès nan zòn lekòl la?,स्कूल क्षेत्र में गति सीमा क्या है?,Wie hoch ist die Geschwindigkeitsbegrenzung in einer Schulzone?,Jaki jest limit prędkości w strefie szkolnej?,Qual è il limite di velocità in una zona scolastica?,اسکول زون میں اسپیڈ لمٹ کیا ہے؟,حد مجاز سرعت در محدوده مدرسه چقدر است؟,పాఠశాల ప్రాంతంలో వేగ పరిమితి ఎంత?,スクールゾーンの制限速度は何ですか？,સ્કૂલ ઝોનમાં સ્પીડ લિમિટ શું છે?,স্কুল অঞ্চলে গতি সীমা কত?,பள்ளி பகுதியில் வேக எல்லை என்ன?,ਸਕੂਲ ਜ਼ੋਨ ਵਿਚ ਗਤੀ ਸੀਮਾ ਕੀ ਹੈ?,เขตโรงเรียนจำกัดความเร็วเท่าไหร่?,Koje je ograničenje brzine u školskoj zoni?,Ինչ է արագության սահմանափակումը դպրոցական տարածքում?,Ποιο είναι το όριο ταχύτητας σε σχολική ζώνη;,Xeev ceev li cas hauv cheeb tsam tsev kawm ntawv?,מהו המהירות המותרת באזור בית ספר?,កំណត់ល្បឿននៅតំបន់សាលារៀនជាអ្វី?,Speed limit beeʼaz school,Ania ti pateg ti pagdalias,Le ā le tapulaʻa saoasaoa i le vaega aoga?,He aha ka palena wikiwiki i ke kahua kula?,Wieviel isch d Gschwindigkait?,וואָס איז דער שנעלקייט־גרענעץ אין אַ שול־געגנט?,Wat is de snelheidslimiet in een schoolzone?,Xadka xawaaraha ee aagga iskuulka waa maxay?,የትምህርት ቤት አካባቢ ውስጥ የፍጥነት ገደብ ስንት ነው?,Kiwango cha kasi katika eneo la shule ni kipi?
opt_15mph,15 mph,15 mph,15 英里/小时,15 mph,15 mph,15 ميل/ساعة,15 mph,시속 15마일,15 миль/ч,15 mph,15 mph,15 mph,15 mph,15 mph,15 mph,15 میل فی گھنٹہ,۱۵ مایل در ساعت,15 mph,時速15マイル,15 માઇલ/કલા,১৫ মাইল/ঘন্টা,15 மைல்/மணி,15 ਮੀਲ/ਘੰਟਾ,15 ไมล์/ชม.,15 mph,15 mph,15 mph,15 mph,15 mph,15 mph,15 mph,15 mph,15 mph,15 mph,15 mph,15 mph,15 mph,15 mph
opt_25mph,25 mph,25 mph,25 英里/小时,25 mph,25 mph,25 ميل/ساعة,25 mph,시속 25마일,25 миль/ч,25 mph,25 mph,25 mph,25 mph,25 mph,25 mph,25 میل فی گھنٹہ,۲۵ مایل در ساعت,25 mph,時速25マイル,25 માઇલ/કલા,২৫ মাইল/ঘন্টা,25 மைல்/மணி,25 ਮੀਲ/ਘੰਟਾ,25 ไมล์/ชม.,25 mph,25 mph,25 mph,25 mph,25 mph,25 mph,25 mph,25 mph,25 mph,25 mph,25 mph,25 mph,25 mph,25 mph
opt_35mph,35 mph,35 mph,35 英里/小时,35 mph,35 mph,35 ميل/ساعة,35 mph,시속 35마일,35 миль/ч,35 mph,35 mph,35 mph,35 mph,35 mph,35 mph,35 میل فی گھنٹہ,۳۵ مایل در ساعت,35 mph,時速35マイル,35 માઇલ/કલા,৩৫ মাইল/ঘন্টা,35 மைல்/மணி,35 ਮੀਲ/ਘੰਟਾ,35 ไมล์/ชม.,35 mph,35 mph,35 mph,35 mph,35 mph,35 mph,35 mph,35 mph,35 mph,35 mph,35 mph,35 mph,35 mph,35 mph
opt_45mph,45 mph,45 mph,45 英里/小时,45 mph,45 mph,45 ميل/ساعة,45 mph,시속 45마일,45 миль/ч,45 mph,45 mph,45 mph,45 mph,45 mph,45 mph,45 میل فی گھنٹہ,۴۵ مایل در ساعت,45 mph,時速45マイル,45 માઇલ/કલા,৪৫ মাইল/ঘন্টা,45 மைல்/மணி,45 ਮੀਲ/ਘੰਟਾ,45 ไมล์/ชม.,45 mph,45 mph,45 mph,45 mph,45 mph,45 mph,45 mph,45 mph,45 mph,45 mph,45 mph,45 mph,45 mph,45 mph
enter_zip,Enter ZIP code,Ingrese código postal,输入邮政编码,Ilagay ang ZIP code,Nhập mã ZIP,أدخل الرمز البريدي,Entrez le code postal,우편번호 입력,Введите почтовый индекс,Insira o CEP,Antre kòd postal,ZIP कोड दर्ज करें,Postleitzahl eingeben,Wpisz kod pocztowy,Inserisci CAP,ZIP کوڈ درج کریں,کد پستی را وارد کنید,ZIP కోడ్ నమోదు చేయండి,郵便番号を入力,ZIP કોડ દાખલ કરો,ZIP কোড লিখুন,ZIP குறியீட்டை உள்ளிடவும்,ZIP ਕੋਡ ਦਰਜ ਕਰੋ,กรอกรหัสไปรษณีย์,Unesite poštanski broj,Մուտքագրեք փոստային ծածկագիրը,Εισαγάγετε ταχυδρομικό κώδικα,Sau ZIP,הזן מיקוד,បញ្ចូលលេខប្រៃសណីយ៍,ZIP code,Isurat ti ZIP,Ulufale ZIP code,E hoʻokomo i ke helu pōsta,Postkoda eińgäh,ZIP קאָד,Voer postcode in,Geli ZIP,የፖስታ ኮድ አስገባ,Ingiza nambari ya posta
take_course,Take Course,Tomar curso,参加课程,Mag-ennrol sa Kurso,Tham gia khóa học,خذ الدورة,Suivre le cours,과정 수강,Пройти курс,Fazer curso,Pran kou,कोर्स लें,Kurs machen,Weź kurs,Segui il corso,کورس کریں,دوره را بگذرانید,కోర్సు చేయండి,コースを受講,કોર્સ લો,কোর্স করুন,பாடநெறி எடுக்கவும்,ਕੋਰਸ ਕਰੋ,เข้าร่วมหลักสูตร,Pohađaj kurs,Վերցրեք դասը,Παρακολουθήστε μάθημα,Noj kawm,לקחת קורס,ចូលរួមវគ្គសិក្សា,Łáʼąąʼ átʼé,Agawid iti kurso,Auai i le kosi,Lawe i ke papa,Maach en Kurs,נעמען אַ קורס,Volg cursus,Qaado koorso,ኮርስ አካል ሁን,Chukua kozi
start_test,Start Test,Iniciar prueba,开始测试,Simulan ang Pagsusulit,Bắt đầu kiểm tra,ابدأ الاختبار,Démarrer le test,테스트 시작,Начать тест,Iniciar teste,Kòmanse tès,परीक्षा शुरू करें,Test starten,Rozpocznij test,Avvia test,ٹیسٹ شروع کریں,شروع آزمون,పరీక్ష ప్రారంభించండి,テスト開始,ટેસ્ટ શરૂ કરો,পরীক্ষা শুরু করুন,சோதனையைத் தொடங்கவும்,ਟੈਸਟ ਸ਼ੁਰੂ ਕਰੋ,เริ่มการทดสอบ,Započnite test,Սկսեք թեստը,Ξεκινήστε το τεστ,Pib qhov kev xeem,התחל מבחן,ចាប់ផ្តើមការប្រឡង,Test doo,Simulan ti Suʻega,Amata Suʻega,E hoʻomaka i ka hoʻāʻo,Test aa,טעס אָנהייבן,Test starten,Bilaab tijaabo,ፈተና ጀምር,Anza mtihani
driving_schools,Driving Schools,Escuelas de manejo,驾校,Mga Paaralan sa Pagmamaneho,Trường dạy lái xe,مدارس تعليم القيادة,Auto-écoles,운전 학원,Автошколы,Autoescolas,Lekòl kondwi,ड्राइविंग स्कूल,Fahrschulen,Szkoły jazdy,Scuole guida,ڈرائیونگ اسکولز,آموزشگاه‌های رانندگی,డ్రైవింగ్ పాఠశాలలు,自動車学校,ડ્રાઇવિંગ સ્કૂલો,ড্রাইভিং স্কুল,ஓட்டுநர் பள்ளிகள்,ਡ੍ਰਾਈਵਿੰਗ ਸਕੂਲ,โรงเรียนสอนขับรถ,Škole vožnje,Վարորդական դպրոցներ,Σχολές οδήγησης,Tsev kawm tsav tsheb,בתי ספר לנהיגה,សាលាបង្រៀនបើកបរ,Naaltsoos bíłíí,Eskuela ti panagmaneho,Aʻoga ave taavale,Nā kula kalaiwa,Fahrschula,דרייווינג שולעס,Rijscholen,Iskuullo darawalnimo,የመንኮራኩር ትምህርት ቤቶች,Shule za udereva
settings,Settings,Configuración,设置,Mga Setting,Cài đặt,الإعدادات,Paramètres,설정,Настройки,Configurações,Anviwònman,सेटिंग्स,Einstellungen,Ustawienia,Impostazioni,سیٹنگز,تنظیمات,సెట్టింగ్స్,設定,સેટિંગ્સ,সেটিংস,அமைப்புகள்,ਸੈਟਿੰਗਾਂ,การตั้งค่า,Podešavanja,Կարգավորումներ,Ρυθμίσεις,Chaw kev teeb,הגדרות,ការកំណត់,Áłchíínígíí,Isasaad,Seti,Nā hoʻonohonoho,Einstellunge,האַגלייכונגען,Instellingen,Dejinta,ቅንብሮች,Mipangilio
drivers_handbook,Driver's Handbook,Manual del conductor,驾驶手册,Manwal ng Drayber,Sổ tay tài xế,كتيب السائق,Guide du conducteur,운전자 안내서,Руководство водителя,Manual do motorista,Manyèl chofè,ड्राइवर हैंडबुक,Fahrerhandbuch,Podręcznik kierowcy,Manuale del conducente,ڈرائیورز ہینڈبک,دفترچه راهنمای راننده,డ్రైవర్ హ్యాండ్‌బుక్,運転者ハンドブック,ડ્રાઇવર હેન્ડબુક,ড্রাইভার হ্যান্ডবুক,ஓட்டுநர் கைதிட்டம்,ਡਰਾਈਵਰ ਹੈਂਡਬੁਕ,คู่มือผู้ขับขี่,Priručnik vozača,Վարորդի ձեռնարկ,Εγχειρίδιο οδηγού,Phau ntawv qhia tsav tsheb,מדריך נהג,សៀវភៅណែនាំអ្នកបើកបរ,Naaltsoos tʼáá ajiłí,Manwal ng drayber,Taʻiala Avetaʻavale,Kaʻa Handbook,Kā Fahrerhandbuch,דרייווער מאַנואַל,Handleiding voor bestuurders,Hagaha darawalka,የአሽከርካሪ መመሪያ,Mwongozo wa dereva
traffic_signs,Traffic Signs,Señales de tráfico,交通标志,Mga Palatandaan sa Trapiko,Biển báo giao thông,إشارات المرور,Panneaux de signalisation,교통 표지판,Дорожные знаки,Sinais de trânsito,Siy trafik,यातायात संकेत,Verkehrszeichen,Znaki drogowe,Segnali stradali,ٹریفک سائنز,علائم راهنمایی و رانندگی,రహదారి సూచికలు,交通標識,ટ્રાફિક ચિહ્નો,ট্রাফিক চিহ্ন,போக்குவரத்து அடையாளங்கள்,ਟ੍ਰਾਫਿਕ ਨਿਸ਼ਾਨ,ป้ายจราจร,Saobraćajni znakovi,Ճանապարհային նշաններ,Σήματα κυκλοφορίας,Cim kev tsheb,תמרורים,សញ្ញាចរាចរណ៍,Naʼídííʼ,Tanda ti trapiko,Faʻailoga feʻaveaʻi,Nā hōʻailona kaʻa,Verkéierszeiche,תּנאָים,Verkeersborden,Calaamadaha wadooyinka,የትራፊክ ምልክቶች,Alama za barabara
favorite,Favorite,Favorito,收藏,Favorite,Pưa thích,مفضل,Favori,즐겨찾기,Избранное,Favorito,Favori,पसंदीदा,Favorit,Ulubione,Preferito,پسندیدہ,مورد علاقه,ఇష్టమైనది,お気に入り,મનપસંદ,প্রিয়,பிடித்த,ਪਸੰਦੀਦਾ,รายการโปรด,Omiljeno,Սիրելի,Αγαπημένο,Nyiam tshaj,מועדף,ចំណូលចិត្ត,Shí naaltsoos,Ay-ayaten,Faʻauo,Koʻikoʻi,Liebling,מיין ליבלעך,Favoriet,Ma jeclaan,ተወዳጅ,Kinachopendwa
faqs,FAQs,Preguntas frecuentes,常见问题,FAQs,Câu hỏi thường gặp,الأسئلة الشائعة,FAQ,자주 묻는 질문,ЧаВо,Perguntas frequentes,Kesyon yo poze souvan,अक्सर पूछे जाने वाले प्रश्न,FAQ,FAQ,Domande frequenti,عمومی سوالات,سؤالات متداول,తరచుగా అడిగే ప్రశ్నలు,よくある質問,વારંવાર પૂછાતા પ્રશ્નો,প্রায়শই জিজ্ঞাসিত প্রশ্ন,அடிக்கடி கேட்கப்படும் கேள்விகள்,ਅਕਸਰ ਪੁੱਛੇ ਜਾਣ ਵਾਲੇ ਪ੍ਰਸ਼ਨ,คำถามที่พบบ่อย,Česta pitanja,ՀՏՀ,Συχνές ερωτήσεις,Lus nug ntau,שאלות נפוצות,សំណួរញឹកញាប់,Chʼíníʼáhózhǫ́,Dagiti kasagutan a naus-usar,FAQs,Nā Nīnau Nīnau,Oft gfrogt Froege,שאלות תדירות,Veelgestelde vragen,Su'aalaha Badanaa,በብዛት የሚጠየቁ ጥያቄዎች,Maswali yanayoulizwa mara kwa mara



